RegionID,ZIP,City,State,Metro,CountyName,SizeRank,MedianHome,GrowthRate(1996),GrowthRate(2000),GrowthRate(2004),GrowthRate(2008),GrowthRate(2012),GrowthRate(2016)
78687,47591,Vincennes,IN,Vincennes,Knox County,4012,96200,1.242894057,1.435820896,1.228607918,1.149342891,1.486862442,1.296495957
73240,34974,Okeechobee,FL,Okeechobee,Okeechobee County,4013,143000,2.321428571,2.078488372,1.460674157,0.925566343,1.547619048,1.289449955
95838,89142,Las Vegas,NV,Las Vegas-Henderson-Paradise,Clark County,4014,228300,2.151743638,1.926582278,1.369526095,1.016473731,2.97265625,1.5250501
79879,49707,Alpena,MI,Alpena,Alpena County,4015,85100,1.908071749,1.368167203,1.112418301,1.045454545,1.392798691,1.165753425
738092,97003,Beaverton,OR,Portland-Vancouver-Hillsboro,Washington County,4016,355700,2.682503771,2.403378378,2.098525074,1.40537337,1.96519337,1.330216904
62099,11413,New York,NY,New York-Newark-Jersey City,Queens County,4017,477100,3.11626388,2.532377919,1.642906336,1.076975169,1.392586106,1.173966535
79029,48167,Northville,MI,Detroit-Warren-Dearborn,Wayne County,4018,340500,1.880176698,1.357655502,1.232802317,1.324387398,1.867800329,1.189311911
70969,30224,Griffin,GA,Atlanta-Sandy Springs-Roswell,Spalding County,4019,136500,1.880165289,1.556442417,1.217662801,1.129032258,1.501650165,1.414507772
76490,43054,New Albany,OH,Columbus,Franklin County,4020,370800,1.978655283,1.679347826,1.276859504,1.27862069,1.381005587,1.153343701
75560,40206,Louisville,KY,Louisville/Jefferson County,Jefferson County,4021,202100,2.795297372,2.04969574,1.673013245,1.511593119,1.576443058,1.208732057
99634,98221,Anacortes,WA,Mount Vernon-Anacortes,Skagit County,4022,467000,2.968849332,2.358585859,1.853910282,1.264212236,1.720707443,1.352055588
72152,32701,Altamonte Springs,FL,Orlando-Kissimmee-Sanford,Seminole County,4023,180700,2.669128508,2.264411028,1.503327787,1.016310461,2.527272727,1.610516934
79528,49036,Coldwater,MI,Coldwater,Branch County,4024,112300,2.219367589,1.661242604,1.324292453,1.17101147,1.493351064,1.23814774
88494,70131,New Orleans,LA,New Orleans-Metairie,Orleans Parish,4025,168700,1.878619154,1.576635514,1.233187135,1.00776583,1.268421053,1.118700265
73243,34982,Fort Pierce,FL,Port St. Lucie,Saint Lucie County,4026,151100,2.539495798,2.248511905,1.447318008,1.054431263,2.669611307,1.693946188
78293,46815,Fort Wayne,IN,Fort Wayne,Allen County,4027,138500,1.766581633,1.331730769,1.316539924,1.205395997,1.270642202,1.215978929
71180,30533,Dahlonega,GA,,Lumpkin County,4028,208200,3.188361409,2.005780347,1.542222222,1.145844799,1.52304316,1.21825629
84430,60185,West Chicago,IL,Chicago-Naperville-Elgin,DuPage County,4029,243700,1.706582633,1.450595238,1.121491026,0.991859992,1.431844888,1.20942928
91175,76001,Arlington,TX,Dallas-Fort Worth-Arlington,Tarrant County,4030,235400,1.869737887,1.790114068,1.680228408,1.546649146,1.714493809,1.33446712
72730,33629,Tampa,FL,Tampa-St. Petersburg-Clearwater,Hillsborough County,4031,578700,4.312220566,3.092998397,1.834812936,1.332489063,1.834812936,1.303378378
99787,98405,Tacoma,WA,Seattle-Tacoma-Bellevue,Pierce County,4032,303800,3.444444444,2.722222222,2.133426966,1.356855739,2.146996466,1.559548255
78965,48092,Warren,MI,Detroit-Warren-Dearborn,Macomb County,4033,160800,1.534351145,1.170305677,1.022900763,1.156002876,2.107470511,1.268138801
