State Code,State,Zip Code,City, Beginning 2000 , End 2018 ,% Increase
CA,California,90706,Bellflower,178500,524900,294.06
NV,Nevada,89052,Henderson,200200,415500,207.54
GA,Georgia,30331,Atlanta,123400,156200,126.58
MA,Massachusetts,02155,Medford,209100,595100,284.6
CO,Colorado,80634,Greeley,146600,309500,211.12
OH,Ohio,43026,Hilliard,145200,226000,155.65
NY,New York,10701,Yonkers,219200,483400,220.53
TX,Texas,75217,Dallas,61000,128600,210.82
SC,South Carolina,29072,Lexington,142600,207000,145.16
CA,California,91342,Los Angeles,166500,524100,314.77
TN,Tennessee,37130,Murfreesboro,93700,202600,216.22
CA,California,95123,San Jose,353800,995500,281.37
FL,Florida,33012,Hialeah,88700,214100,241.38
IL,Illinois,60626,Chicago,110400,177000,160.33
CA,California,92335,Fontana,104700,347700,332.09
NY,New York,11372,New York,141300,569500,403.04
CA,California,92021,El Cajon,190800,484300,253.83
VA,Virginia,23454,Virginia Beach,125000,292200,233.76
OH,Ohio,45840,Findlay,110000,143900,130.82
CA,California,93065,Simi Valley,234300,580500,247.76
FL,Florida,33063,Margate,76200,191200,250.92
VA,Virginia,22193,Woodbridge,135700,322900,237.95
FL,Florida,32174,Ormond Beach,122800,248000,201.95
OH,Ohio,44130,Parma Heights,121500,137000,112.76
MI,Michigan,48185,Westland,130500,145800,111.72
CA,California,92627,Costa Mesa,266900,840000,314.72
AR,Arkansas,72401,Jonesboro,70100,116000,165.48
MA,Massachusetts,02360,Plymouth,173400,368500,212.51
FL,Florida,33027,Miramar,135200,329200,243.49
MD,Maryland,20878,Gaithersburg,231700,541900,233.88
VA,Virginia,23666,Hampton,93400,180800,193.58
GA,Georgia,30022,Johns Creek,240700,416600,173.08
AZ,Arizona,85705,Tucson,80100,147900,184.64
NM,New Mexico,87121,Albuquerque,104000,153900,147.98
FL,Florida,34953,Port Saint Lucie,80600,228800,283.87
NY,New York,11218,New York,213300,1096500,514.06
CA,California,90011,Los Angeles,129800,404300,311.48
NJ,New Jersey,08831,Monroe,206000,347000,168.45
DC,Washington D.C.,20019,Washington,97400,327200,335.93
NY,New York,11223,New York,253000,902200,356.6
